,loss,model,accs,thresh,,,,,mean diff,Value – mean,,var,std,,s_mean(x),t
137,0.006927641487122,VGG13_XXS,0.7083,0.99,,,0.0835,,0.145465,0.003839661225,,,,,,
138,0.006447842800617,VGG13_XXS,0.7274,0.992,,,0.0644,,0.10781,0.0018844281,,,,,,
139,0.006083198660612,VGG13_XXS,0.7432,0.994,,,0.0486,,0.08018,0.0009972964,,,,,,
140,0.005936441743374,VGG13_XXS,0.7498,0.996,,,0.042,,0.04062,1.90440000000006E-06,,,,,,
141,0.005636092495918,VGG13_XXS,0.7561,0.998,,,0.0357,,0.01974,0.0002547216,,,,,,
142,0.005593028596044,VGG13_XXS,0.7596,0.999,,,0.0322,,0.01709,0.0002283121,,,,,,
143,0.004788973653317,VGG13_XXS,0.7918,3,,,0,,0,0,,,,,,
144,0.018335792136192,VGG13_XXXS,0.102,0.9,,,0.558,,0.7016,0.02062096,,,,,,
145,0.01833686773777,VGG13_XXXS,0.1017,0.91,,,0.5583,,0.699655,0.019981236025,,,,,,
146,0.018233736824989,VGG13_XXXS,0.1135,0.92,,,0.5465,,0.6954,0.02217121,,,,,,
147,0.018157792401314,VGG13_XXXS,0.1217,0.93,,,0.5383,,0.691975,0.023616005625,,,,,,
148,0.018480347204208,VGG13_XXXS,0.1619,0.94,,,0.4981,,0.68129,0.0335585761,,,,,,
149,0.018056008505821,VGG13_XXXS,0.1097,0.95,,,0.5503,,0.663355,0.012781433025,,,,,,
150,0.017795368742943,VGG13_XXXS,0.1261,0.96,,,0.5339,,0.617325,0.006959730625,,,,,,
151,0.015007733297348,VGG13_XXXS,0.3082,0.97,,,0.3518,,0.49026,0.0191711716,,,,,,
152,0.013567698943615,VGG13_XXXS,0.4075,0.98,,,0.2525,,0.32279,0.0049406841,,,,,,
153,0.00956964443922,VGG13_XXXS,0.6036,0.99,,,0.0564,,0.145465,0.007932574225,,,,,,
154,0.009258285999298,VGG13_XXXS,0.6054,0.992,,,0.0546,,0.10781,0.0028313041,,,,,,
155,0.009044412183762,VGG13_XXXS,0.6085,0.994,,,0.0515,,0.08018,0.0008225424,,,,,,
156,0.008607721841335,VGG13_XXXS,0.6176,0.996,,,0.0424,,0.04062,3.16839999999991E-06,,,,,,
157,0.008489059722424,VGG13_XXXS,0.6195,0.998,,,0.0405,,0.01974,0.0004309776,,,,,,
158,0.008415521496534,VGG13_XXXS,0.622,0.999,,,0.038,,0.01709,0.0004372281,,,,,,
159,0.007548014372587,VGG13_XXXS,0.66,3,,,0,,0,0,,,,,,
160,0.023609587097168,VGG16,0.1306,0.9,,,0.7648,,0.7016,0.00399424,,,,,,
161,0.022855654454231,VGG16,0.1413,0.91,,,0.7541,,0.699655,0.002964258025,,,,,,
162,0.020510213780403,VGG16,0.1751,0.92,,,0.7203,,0.6954,0.00062001,,,,,,
163,0.019875314354897,VGG16,0.1806,0.93,,,0.7148,,0.691975,0.000520980625,,,,,,
164,0.019490102338791,VGG16,0.1858,0.94,,,0.7096,,0.68129,0.0008014561,,,,,,
165,0.019258039832115,VGG16,0.1878,0.95,,,0.7076,,0.663355,0.001957620025,,,,,,
166,0.018892451953888,VGG16,0.1877,0.96,,,0.7077,,0.617325,0.008167640625,,,,,,
167,0.016051137006283,VGG16,0.2154,0.97,,,0.68,,0.49026,0.0360012676,,,,,,
168,0.010038411045075,VGG16,0.4616,0.98,,,0.4338,,0.32279,0.0123232201,,,,,,
169,0.004348911291361,VGG16,0.8171,0.99,,,0.0783,,0.145465,0.004511137225,,,,,,
170,0.003333692967892,VGG16,0.8726,0.992,,,0.0228,,0.10781,0.0072267001,,,,,,
171,0.003059370547533,VGG16,0.8846,0.994,,,0.0108,,0.08018,0.0048135844,,,,,,
172,0.002737416964769,VGG16,0.8927,0.996,,,0.0027,,0.04062,0.0014379264,,,,,,
173,0.002689699295163,VGG16,0.8996,0.998,,,-0.0042,,0.01974,0.0005731236,,,,,,
174,0.00283539615199,VGG16,0.8964,0.999,,,-0.001,,0.01709,0.0003272481,,,,,,
