;loss;model;accs;thresh
215;0.016068808960914612;VGG16_XXS;0.189;0.97
216;0.013141245901584626;VGG16_XXS;0.4152;0.98
217;0.008430324631929397;VGG16_XXS;0.6499;0.99
218;0.008255836862325668;VGG16_XXS;0.6493;0.992
219;0.00603179224729538;VGG16_XXS;0.7474;0.994
220;0.005784264069795608;VGG16_XXS;0.7557;0.996
221;0.0056629996597766874;VGG16_XXS;0.7589;0.998
222;0.005645033916831016;VGG16_XXS;0.7588;0.999
223;0.004984983092546463;VGG16_XXS;0.7877;3.0
224;0.019346604442596435;VGG16_XXXS;0.1;0.9
225;0.018718174624443053;VGG16_XXXS;0.1155;0.91
226;0.018349745368957518;VGG16_XXXS;0.1528;0.92
227;0.018409216570854186;VGG16_XXXS;0.1503;0.93
228;0.017539280438423156;VGG16_XXXS;0.1735;0.94
229;0.017340241527557372;VGG16_XXXS;0.1762;0.95
230;0.01666180396080017;VGG16_XXXS;0.1731;0.96
231;0.016538421404361726;VGG16_XXXS;0.182;0.97
232;0.014285324525833129;VGG16_XXXS;0.3069;0.98
233;0.01148037691116333;VGG16_XXXS;0.4836;0.99
234;0.009136625570058822;VGG16_XXXS;0.5916;0.992
235;0.008775548166036606;VGG16_XXXS;0.6078;0.994
236;0.008598363417387008;VGG16_XXXS;0.6188;0.996
237;0.00861417163014412;VGG16_XXXS;0.6188;0.998
238;0.008569940084218979;VGG16_XXXS;0.6203;0.999
239;0.007473703914880753;VGG16_XXXS;0.6707;3.0
240;0.032864921832084656;VGG19;0.1339;0.9
241;0.03244297358989716;VGG19;0.1388;0.91
242;0.031101816439628602;VGG19;0.1196;0.92
243;0.0302910117149353;VGG19;0.1198;0.93
244;0.028257094049453736;VGG19;0.128;0.94
245;0.02519097592830658;VGG19;0.1598;0.95
246;0.024214243721961976;VGG19;0.1838;0.96
247;0.02245039074420929;VGG19;0.2282;0.97
248;0.02100286965370178;VGG19;0.2562;0.98
249;0.01108272830247879;VGG19;0.5035;0.99
250;0.0094451750934124;VGG19;0.5323;0.992
251;0.008208445066213607;VGG19;0.5706;0.994
252;0.005859826725721359;VGG19;0.7565;0.996
253;0.0033310509085655213;VGG19;0.8765;0.998
254;0.003297909280657768;VGG19;0.8787;0.999
255;0.0035125108525156973;VGG19;0.8807;3.0
256;0.032790637397766116;VGG19_S;0.1324;0.9
257;0.03237802231311798;VGG19_S;0.1274;0.91
258;0.031153278732299804;VGG19_S;0.121;0.92
259;0.028317765831947325;VGG19_S;0.1383;0.93
260;0.028149171471595763;VGG19_S;0.1369;0.94
261;0.02648134570121765;VGG19_S;0.1591;0.95
262;0.02541323301792145;VGG19_S;0.1831;0.96
263;0.02356780149936676;VGG19_S;0.2398;0.97
264;0.02223996551036835;VGG19_S;0.2557;0.98
265;0.01607017465829849;VGG19_S;0.325;0.99
266;0.01154843144416809;VGG19_S;0.4869;0.992
267;0.010123818361759187;VGG19_S;0.531;0.994
268;0.006591969114542007;VGG19_S;0.724;0.996
269;0.0038518708527088166;VGG19_S;0.8523;0.998
270;0.003670091834664345;VGG19_S;0.8619;0.999
271;0.0036790964871644973;VGG19_S;0.8661;3.0
272;0.026998504114151;VGG19_XS;0.1017;0.9
273;0.02668646833896637;VGG19_XS;0.1015;0.91
274;0.026217109036445616;VGG19_XS;0.1053;0.92
275;0.025289712929725646;VGG19_XS;0.1075;0.93
276;0.025112729144096374;VGG19_XS;0.1069;0.94
277;0.02400709652900696;VGG19_XS;0.1246;0.95
278;0.023510776472091675;VGG19_XS;0.1302;0.96
279;0.021764876341819762;VGG19_XS;0.1613;0.97
280;0.020563513326644897;VGG19_XS;0.2008;0.98
281;0.012069953453540802;VGG19_XS;0.4021;0.99
282;0.009755904126167298;VGG19_XS;0.5066;0.992
283;0.0071801177620887755;VGG19_XS;0.6742;0.994
284;0.005351733738183975;VGG19_XS;0.7679;0.996
285;0.004199522814154625;VGG19_XS;0.8261;0.998
286;0.004120534506440163;VGG19_XS;0.8294;0.999
287;0.004170000296831131;VGG19_XS;0.8342;3.0
288;0.019855384135246276;VGG19_XXS;0.1;0.9
289;0.01937674767971039;VGG19_XXS;0.1003;0.91
290;0.019298946046829222;VGG19_XXS;0.1013;0.92
291;0.01940428137779236;VGG19_XXS;0.1011;0.93
292;0.017947931742668153;VGG19_XXS;0.1485;0.94
293;0.017472577714920043;VGG19_XXS;0.1684;0.95
294;0.017334640502929686;VGG19_XXS;0.1725;0.96
295;0.016621253204345703;VGG19_XXS;0.2054;0.97
296;0.015307050740718841;VGG19_XXS;0.2591;0.98
297;0.009153459995985032;VGG19_XXS;0.6362;0.99
298;0.008185125941038133;VGG19_XXS;0.6835;0.992
299;0.00715162233710289;VGG19_XXS;0.7142;0.994
300;0.006420951926708222;VGG19_XXS;0.729;0.996
301;0.006202910828590393;VGG19_XXS;0.7359;0.998
302;0.006162561196088791;VGG19_XXS;0.7394;0.999
303;0.005371286621689796;VGG19_XXS;0.7719;3.0
304;0.023597478938102722;VGG19_XXXS;0.1;0.9
305;0.019243825936317443;VGG19_XXXS;0.1002;0.91
306;0.0187224084854126;VGG19_XXXS;0.1;0.92
307;0.01835482876300812;VGG19_XXXS;0.1021;0.93
308;0.018296891355514527;VGG19_XXXS;0.1021;0.94
309;0.017707225131988524;VGG19_XXXS;0.1246;0.95
310;0.017540562105178834;VGG19_XXXS;0.1342;0.96
311;0.01625800460577011;VGG19_XXXS;0.201;0.97
312;0.015498569118976593;VGG19_XXXS;0.246;0.98
313;0.012088934242725372;VGG19_XXXS;0.4652;0.99
314;0.011142030584812165;VGG19_XXXS;0.5306;0.992
315;0.01040094964504242;VGG19_XXXS;0.5615;0.994
316;0.009808070909976959;VGG19_XXXS;0.5746;0.996
317;0.009564260351657868;VGG19_XXXS;0.5805;0.998
318;0.009374928849935531;VGG19_XXXS;0.5951;0.999
319;0.007641866540908813;VGG19_XXXS;0.6702;3.0
